  0	  0	  0	4.165452
  0	  0	  1	2.923407
  0	  0	  2	0.860174
  0	  0	  3	-4.302676
  0	  0	  4	-3.192294
  0	  0	  5	-1.402426
  0	  1	  0	-1.360016
  0	  1	  1	-1.440698
  0	  1	  2	1.821148
  0	  1	  3	1.312910
  0	  1	  4	0.520532
  0	  1	  5	-1.828998
  1	  0	  0	-2.514746
  1	  0	  1	2.637389
  1	  1	  0	-0.450130
  1	  1	  1	0.571724
  1	  2	  0	0.948713
  1	  2	  1	-0.685399
  2	  0	  0	-0.537487
  2	  0	  1	-0.263097
  2	  0	  2	0.472414
  2	  1	  0	0.663660
  2	  1	  1	0.509727
  2	  1	  2	-0.447068
  2	  2	  0	0.535864
  2	  2	  1	0.257558
  2	  2	  2	-0.466519
  2	  3	  0	0.069965
  2	  3	  1	-0.137251
  2	  3	  2	-0.123146
